,Year,Real GDP growth
0,2019,2.2%
1,2018,3%
2,2017,2.3%
3,2016,1.7%
4,2015,3.1%
5,2014,2.5%
6,2013,1.8%
7,2012,2.2%
8,2011,1.6%
9,2010,2.6%
10,2009,-2.5%
11,2008,-0.1%
12,2007,1.9%
13,2006,2.9%
14,2005,3.5%
15,2004,3.8%
16,2003,2.9%
17,2002,1.7%
18,2001,1%
19,2000,4.1%
20,1999,4.8%
21,1998,4.5%
22,1997,4.4%
23,1996,3.8%
24,1995,2.7%
25,1994,4%
26,1993,2.8%
27,1992,3.5%
28,1991,-0.1%
29,1990,1.9%
30,1989,3.7%
31,1988,4.2%
32,1987,3.5%
33,1986,3.5%
34,1985,4.2%
35,1984,7.2%
36,1983,4.6%
37,1982,-1.8%
38,1981,2.5%
39,1980,-0.3%
40,1979,3.2%
41,1978,5.5%
42,1977,4.6%
43,1976,5.4%
44,1975,-0.2%
45,1974,-0.5%
46,1973,5.6%
47,1972,5.3%
48,1971,3.3%
49,1970,0.2%
50,1969,3.1%
51,1968,4.9%
52,1967,2.7%
53,1966,6.6%
54,1965,6.5%
55,1964,5.8%
56,1963,4.4%
57,1962,6.1%
58,1961,2.6%
59,1960,2.6%
60,1959,6.9%
61,1958,-0.7%
62,1957,2.1%
63,1956,2.1%
64,1955,7.1%
65,1954,-0.6%
66,1953,4.7%
67,1952,4.1%
68,1951,8%
69,1950,8.7%
70,1949,-0.6%
71,1948,4.1%
72,1947,-1.1%
73,1946,-11.6%
74,1945,-1%
75,1944,8%
76,1943,17%
77,1942,18.9%
78,1941,17.7%
79,1940,8.8%
80,1939,8%
81,1938,-3.3%
82,1937,5.1%
83,1936,12.9%
84,1935,8.9%
85,1934,10.8%
86,1933,-1.2%
87,1932,-12.9%
88,1931,-6.4%
89,1930,-8.5%
