,Year,Life expectancy in years
0,2020,72.29
1,2015,70.27
2,2010,67.14
3,2005,64.95
4,2000,65.7
5,1995,66.58
6,1990,69.13
7,1985,67.47
8,1980,67.57
9,1975,68.31
10,1970,68.48
11,1965,67.88
12,1960,64.8
13,1955,58.52
14,1950,50.2
15,1945,23.6
16,1940,41.44
17,1935,32.59
18,1930,37.74
19,1925,30.68
20,1920,25.8
21,1915,33.69
22,1910,32.61
23,1905,30.66
24,1900,29.8
25,1895,26.06
26,1890,32.32
27,1885,30.3
28,1880,30.21
29,1875,29.02
30,1870,29.21
31,1865,29.57
32,1860,29.46
33,1855,28.73
34,1850,27.26
35,1845,29.57
