,company,Turnover in million SEK
0,GE Healthcare Bio-Sciences AB,15104
1,GE Healthcare BioProcess R&D AB,6334
2,Upplands Motor Holding AB,5123
3,Beijer Alma AB,4409
4,Fresenius Kabi AB,4064
5,Phadia AB,3783
6,Jötagruppen AB,3140
7,Uppsala Stadshus AB,3047
8,Stora Enso Pulp AB,2103
9,Erasteel Kloster AB,1373
10,Lars Svensson Holding AB,1289
11,Q-Med AB,1070
12,Didner & Gerge Fonder AB,957
13,Biotage AB,911
14,Orexo AB,783
15,Madhat AB,633
16,Sallén Förvaltning AB,628
17,Relita Industri & Skadeservice AB,591
18,Angel Fall AB,589
19,Mellansvenska Logistiktransporter AB,568
