,Tennis player,World Ranking Points
0,Ashleigh Barty,8717
1,Simona Halep,6356
2,Karolína Plíšková,5205
3,Sofia Kenin,4590
4,Elina Svitolina,4580
5,Bianca Andreescu,4555
6,Kiki Bertens,4335
7,Serena Williams,4080
8,Naomi Osaka,4020
9,Belinda Bencic,4010
10,Aryna Sabalenka,3615
11,Petra Kvitova,3566
12,Johanna Konta,3152
13,Madison Keys,2962
14,Petra Martic,2850
15,Garbine Muguruza,2711
16,Elena Rybakina,2471
17,Elise Mertens,2360
18,Marketa Vondrousova,2308
19,Alison Riske,2256
20,Anett Kontaveit,2220
21,Maria Sakkari,2130
22,Angelique Kerber,2040
23,Donna Vekić,1880
24,Dayana Yastremska,1880
25,Karolina Muchova,1872
26,Victoria Azarenka,1832
27,Amanda Anisimova,1775
28,Ekatrina Alexandrova,1775
29,Qiang Wang,1706
30,Ons Jabeur,1573
31,Anastasia Pavlyuchenkova,1540
32,Barbora Strykova,1530
33,Svetlana Kuznetsova,1527
34,Yulia Putintseva,1525
35,Saisai Zheng,1510
36,Magda Linette,1482
37,Shuai Zhang,1475
38,Sloane Stephens,1453
39,Julia Georges,1423
40,Jennifer Brady,1395
41,Veronika Kudermetova,1388
42,Jelana Ostapenko,1360
43,Krisitna Mladenovic,1335
44,Anastasija Sevatsova,1288
45,Marie Bouzkova,1274
46,Fiona Ferro,1267
47,Rebecca Peterson,1225
48,Polona Hercog,1205
49,Caroline Garcia,1205
50,Cori Gauff,1174
