,Schools,Shanghai Ranking Score
0,Harvard University,100.0
1,Stanford University,75.1
2,University of Cambridge,72.3
3,Massachusetts Institute of Technology (MIT),69.0
4,"University of California, Berkeley",67.9
5,Princeton University,60.0
6,University of Oxford,59.7
7,Columbia University,59.1
8,California Institute of Technology,58.6
9,University of Chicago,55.1
10,"University of California, Los Angeles",50.8
11,Yale University,50.8
12,Cornell University,49.8
13,University of Washington,48.7
14,University College London,47.9
15,Johns Hopkins University,47.6
16,University of Pennsylvania,47.3
17,"University of California, San Diego",47.1
18,Swiss Federal Institute of Technology Zurich,46.1
19,"University of California, San Francisco",42.2
20,University of Michigan-Ann Arbor,42.2
21,Washington University in St. Louis,41.7
22,Imperial College London,41.6
23,University of Toronto,41.4
24,The University of Tokyo,40.7
25,University of Copenhagen,40.2
26,University of Wisconsin - Madison,38.8
27,Duke University,38.6
28,Northwestern University,38.4
29,New York University,38.1
30,The University of Edinburgh,37.4
31,Kyoto University,37.0
32,University of North Carolina at Chapel Hill,36.9
33,The University of Manchester,36.9
34,Rockefeller University,36.2
35,University of British Columbia,36.2
36,University of Paris-Sud (Paris 11),36.1
37,University of Illinois at Urbana-Champaign,35.8
38,University of Colorado at Boulder,35.8
39,Karolinska Institute,35.8
40,The University of Melbourne,35.7
41,"University of Minnesota, Twin Cities",35.7
42,Tsinghua University,35.4
43,Sorbonne University,35.1
44,The University of Texas at Austin,34.3
45,"University of Maryland, College Park",33.7
46,Heidelberg University,33.3
47,"University of California, Santa Barbara",33.2
48,Utrecht University,32.8
49,The University of Texas Southwestern Medical Center at Dallas,32.8
