,Company and Public Figure,Donations in thousand euros
0,OMV Petrom,1000.0
1,H&M,460.0
2,BRD - Groupe Societe Generale,412.97
3,Banca Transilvania,290.0
4,Romgaz,257.95
5,Salvati Copiii Romania,225.08
6,Profi,208.0
7,Globalworth Foundation,200.0
8,OTP Bank Romania,103.18
9,Mastercard,100.0
10,Catena,100.0
11,Electrica Furnizare,90.0
12,Antibiotice Iasi,61.95
13,Agricola,60.0
14,MetaMinds,41.0
15,Declic,38.17
16,SmartBill,35.0
17,IT Perspective,27.43
18,Asociatia Romana a Producatorilor Internationali de Medicamente,20.63
19,Continental Sibiu,20.0
20,Andra,20.0
21,Grupul TeraPlast,17.54
22,Cotnari,10.32
23,Mihai Culeafa,10.13
24,Social Innovation Solutions and Coca-Cola Romania,10.0
25,Bogdan Micu,10.0
