,business,Growth rate
0,Richard Mille SA,58.7%
1,Canada Goose Holdings Inc.,41.9%
2,TFG London,33%
3,Kering SA,23.3%
4,Chow Tai Seng Jewellery Co.,22.5%
5,Coty Luxury,21.5%
6,Titan Company Limited,19.8%
7,Euroitalia S.r.l.,16.6%
8,LVMH Moet Hennesy-Louis Vitton SE,16.5%
9,Moncler SpA,16.1%
10,Shiseido Prestige & Fragrance,16%
11,J Barbour & Sons Ltd,13.3%
12,Acne Studios Holding AB,13%
13,SMCP SAS,12.9%
14,L'Oréal Luxe,12.9%
15,Chanel Limited,12.5%
16,Kosé Corporation,12.3%
17,Joyalukkas India Pvt. Limited,11.9%
18,Breitling SA,11.5%
19,"Inter Parfums, Inc.",11%
