,Response,Share of weddings celebrated
0,20 years younger or more,0.2%
1,-19,0.1%
2,-18,0.1%
3,-17,0.1%
4,-16,0.1%
5,-15,0.1%
6,-14,0.2%
7,-13,0.2%
8,-12,0.2%
9,-11,0.3%
10,-10,0.3%
11,-9,0.5%
12,-8,0.6%
13,-7,0.8%
14,-6,1.1%
15,-5,1.5%
16,-4,2.1%
17,-3,2.9%
18,-2,4.4%
19,-1,7.1%
20,0,11.7%
21,1,11.9%
22,2,10.3%
23,3,8.6%
24,4,6.9%
25,5,5.5%
26,6,4.4%
27,7,3.4%
28,8,2.7%
29,9,2.1%
30,10,1.8%
31,11,1.5%
32,12,1.2%
33,13,0.9%
34,14,0.8%
35,15,0.6%
36,16,0.5%
37,17,0.4%
38,18,0.3%
39,19,0.3%
40,20 years older or more,1.3%
