,Quarter,Number of monthly active users (MAU) in millions
0,Q2 2020,410
1,Q1 2020,406
2,Q4 2019,394
3,Q3 2019,387
4,Q2 2019,385
5,Q1 2019,384
6,Q4 2018,381
7,Q3 2018,375
8,Q2 2018,376
9,Q1 2018,377
10,Q4 2017,370
11,Q3 2017,364
12,Q2 2017,360
13,Q1 2017,354
14,Q4 2016,349
15,Q3 2016,342
16,Q2 2016,338
17,Q1 2016,333
18,Q4 2015,323
19,Q3 2015,315
20,Q2 2015,311
21,Q1 2015,307
22,Q4 2014,301
23,Q3 2014,296
24,Q2 2014,292
25,Q1 2014,289
26,Q4 2013,282
27,Q3 2013,276
28,Q2 2013,272
29,Q1 2013,269
30,Q4 2012,261
