,fire,Number of victims
0,"Indonesia, Forest fire (Oct 1994)",3000000
1,"Macedonia FRY, Forest fire (July 2007)",1000000
2,"United States, Scrub/grassland fire (Oct 2007)",640064
3,"Indonesia, Forest fire (Sep 2015)",409664
4,"Argentina, Forest fire (Jan 1987)",152752
5,"Portugal, Forest fire (Jan 2003)",150000
6,"Paraguay, Forest fire (Sep 2007)",125000
7,"Russia, Forest fire (July 1998)",100683
8,"Democratic Republic of Congo, Forest fire (Aug 2015)",57003
9,"China, Wild fire (May 1987)",56313
