,Month,Transfer fee paid in million euros
0,Ousmane Dembélé (17/18 - FC Barcelona),120.0
1,Lucas Hernández  (19/20 - FC Bayern München),80.0
2,Kevin De Bruyne (15/16 - Manchester City),76.0
3,Christian Pulisic (18/19 - Chelsea FC),64.0
4,Pierre-Emerick Aubameyang (17/18 - FC Arsenal),63.75
5,Luka Jovic (19/20 - Real Madrid),60.0
6,Naby Keïta (18/19 - Liverpool FC),60.0
7,Leroy Sané (16/17 - Manchester City),50.5
8,Granit Xhaka (16/17 - Arsenal FC),45.0
9,Joelinton (19/20 - Newcastle United),44.0
10,Julian Draxler (15/16 - VfL Wolfsburg),43.0
11,Henrikh Mkhitaryan (16/17 - Manchester United),42.0
12,Corentin Tolisso (17/18 - FC Bayern München),41.5
13,Roberto Firmino (15/16 - Liverpool FC),41.0
14,Sébastien Haller  (19/20 - West Ham United),40.0
15,Douglas Costa (18/19 - Juventus Turin),40.0
16,Javi Martinez (12/13 - FC Bayern München),40.0
17,Arturo Vidal (15/16 - FC Bayern München),37.5
18,Thilo Kehrer (18/19 - Paris St. Germain),37.0
19,Mario Götze (13/14 - FC Bayern München),37.0
20,Edin Dzeko (10/11 - Manchester City),37.0
21,Julian Draxler (16/17 - Paris Saint Germain),36.0
22,Benjamin Pavard (19/20 - FC Bayern München),35.0
23,Mats Hummels (16/17 - FC Bayern München),35.0
24,Renato Sanches (16/17 - FC Bayern München),35.0
