,Year,GDP per capita in U.S. dollars
0,2025*,10888.24
1,2024*,10051.29
2,2023*,9290.93
3,2022*,8381.12
4,2021*,7658.85
5,2020*,7715.37
6,2019,9150.86
7,2018,9506.84
8,2017,10628.9
9,2016,10891.19
10,2015,10973.59
11,2014,12022.18
12,2013,12395.37
13,2012,11552.69
14,2011,11140.95
15,2010,10475.57
16,2009,8881.76
17,2008,10691.76
18,2007,9562.94
19,2006,7898.99
20,2005,7277.94
21,2004,5952.83
22,2003,4642.9
23,2002,3589.39
24,2001,3053.28
25,2000,4218.86
26,1999,4019.0
27,1998,4387.31
28,1997,4220.6
29,1996,4095.58
30,1995,3877.1
31,1994,3024.16
32,1993,4259.48
33,1992,3817.29
34,1991,3686.18
35,1990,3735.77
36,1989,2707.19
37,1988,2335.49
38,1987,2259.89
39,1986,1982.41
40,1985,1833.86
