,Brand/ segment,Percent sales increase
0,Gillete Fusion/ cartridges,-9.8%
1,Philips Norelco/ electric shaver groomer,1.6%
2,Gillette Mach3/ cartridges,4%
3,Degree Men's/ deodorant,0.7%
4,Gillette Fusion ProGlide/ cartridges,-0.3%
5,Old Spice Red Zone/ toiletries and grooming,5.6%
6,Just for Men's/ hair coloring,-3.5%
7,Axe/ liquid body wash,4.9%
8,Old Spice High Endurance/ deodorant,1%
9,Axe Dry/ deodorants,1.3%
10,Gillette Fusion ProGlide Power / Cartridges,-6.1%
11,Dove Men+Care/ liquid body wash,15.4%
12,Edge/ shaving cream,-13.9%
13,Edge/ toiletries and grooming,-14.5%
14,Old Spice Red Zone/ deodorants,-2.6%
15,Gillette Fusion Power/ cartridges,-5.7%
16,Gillette Custom Plus/ disposables,2.3%
17,Old Spice/ toiletries and grooming,69.5%
18,Gillette Mach3 Turbo/ cartridges,-15.5%
19,Dove Men+Care/ deodorant,29.1%
