,Month,Number of tests
0,"Nov 24, 2020",904
1,"Nov 23, 2020",1211
2,"Nov 22, 2020",529
3,"Nov 21, 2020",778
4,"Nov 20, 2020",994
5,"Nov 19, 2020",966
6,"Nov 18, 2020",975
7,"Nov 17, 2020",1187
8,"Nov 16, 2020",1597
9,"Nov 15, 2020",657
10,"Nov 14, 2020",879
11,"Nov 13, 2020",1352
12,"Nov 12, 2020",1228
13,"Nov 11, 2020",1145
14,"Nov 10, 2020",1335
15,"Nov 9, 2020",1594
16,"Nov 8, 2020",870
17,"Nov 7, 2020",1093
18,"Nov 6, 2020",1749
19,"Nov 5, 2020",1781
20,"Nov 4, 2020",2088
21,"Nov 3, 2020",2197
22,"Nov 2, 2020",2089
23,"Nov 1, 2020",1284
24,"Oct 31, 2020",1457
25,"Oct 30, 2020",2149
26,"Oct 29, 2020",2500
27,"Oct 28, 2020",2108
28,"Oct 27, 2020",3153
29,"Oct 26, 2020",2699
30,"Oct 25, 2020",1187
31,"Oct 24, 2020",1413
32,"Oct 23, 2020",2135
33,"Oct 22, 2020",1858
34,"Oct 21, 2020",2218
35,"Oct 20, 2020",1753
36,"Oct 19, 2020",2552
37,"Oct 18, 2020",1350
38,"Oct 17, 2020",1856
39,"Oct 16, 2020",2328
40,"Oct 15, 2020",2715
41,"Oct 14, 2020",2789
42,"Oct 13, 2020",2174
43,"Oct 12, 2020",3690
44,"Oct 11, 2020",1503
45,"Oct 10, 2020",2152
46,"Oct 9, 2020",4064
47,"Oct 8, 2020",4133
48,"Oct 7, 2020",3362
49,"Oct 6, 2020",2686
50,"Oct 5, 2020",3227
51,"Oct 4, 2020",2000
52,"Oct 3, 2020",1695
53,"Oct 2, 2020",1811
54,"Oct 1, 2020",2060
55,"Sep 30, 2020",2045
56,"Sep 29, 2020",2229
57,"Sep 28, 2020",2328
58,"Sep 27, 2020",1394
59,"Sep 26, 2020",1681
60,"Sep 25, 2020",2930
61,"Sep 24, 2020",2724
62,"Sep 23, 2020",2933
63,"Sep 22, 2020",5165
64,"Sep 21, 2020",4307
65,"Sep 20, 2020",2271
66,"Sep 19, 2020",2462
67,"Sep 18, 2020",3629
68,"Sep 17, 2020",4009
69,"Sep 16, 2020",2017
70,"Sep 15, 2020",1145
71,"Sep 14, 2020",1535
72,"Sep 13, 2020",1028
73,"Sep 12, 2020",1089
74,"Sep 11, 2020",1314
75,"Sep 10, 2020",1496
76,"Sep 9, 2020",1592
77,"Sep 8, 2020",1390
78,"Sep 7, 2020",1547
79,"Sep 6, 2020",1373
80,"Sep 5, 2020",1498
81,"Sep 4, 2020",1819
82,"Sep 3, 2020",1463
83,"Sep 2, 2020",1981
84,"Sep 1, 2020",1635
85,"Aug 31, 2020",1980
86,"Aug 30, 2020",1694
87,"Aug 29, 2020",1439
88,"Aug 28, 2020",1946
89,"Aug 27, 2020",1839
90,"Aug 26, 2020",2449
91,"Aug 25, 2020",2850
92,"Aug 24, 2020",2352
93,"Aug 23, 2020",1656
94,"Aug 22, 2020",1711
95,"Aug 21, 2020",2403
96,"Aug 20, 2020",3290
97,"Aug 19, 2020",2530
98,"Aug 18, 2020",3182
99,"Aug 17, 2020",2695
100,"Aug 16, 2020",2159
101,"Aug 15, 2020",3538
102,"Aug 14, 2020",3342
103,"Aug 13, 2020",2801
104,"Aug 12, 2020",3210
105,"Aug 11, 2020",3305
106,"Aug 10, 2020",3450
107,"Aug 9, 2020",3161
108,"Aug 8, 2020",2599
109,"Aug 7, 2020",3024
110,"Aug 6, 2020",3001
111,"Aug 5, 2020",2979
112,"Aug 4, 2020",1746
113,"Aug 3, 2020",3035
114,"Aug 2, 2020",3240
115,"Aug 1, 2020",3188
116,"Jul 31, 2020",2511
117,"Jul 30, 2020",2488
118,"Jul 29, 3030",1890
119,"Jul 28, 3030",1810
