,Year,GDP per capita in U.S. dollars
0,2025*,34407.54
1,2024*,33699.48
2,2023*,33015.72
3,2022*,32217.08
4,2021*,31206.63
5,2020*,30113.31
6,2019,32595.17
7,2018,31603.41
8,2017,31590.97
9,2016,30585.55
10,2015,29755.35
11,2014,28981.34
12,2013,28513.15
13,2012,27944.74
14,2011,27278.85
15,2010,26435.74
16,2009,25768.73
17,2008,24898.34
18,2007,23664.87
19,2006,22935.95
20,2005,21959.32
21,2004,20988.99
22,2003,19820.21
23,2002,18972.77
24,2001,18243.71
25,2000,16192.13
26,1999,15293.18
27,1998,14430.16
28,1997,12968.39
29,1996,12305.02
30,1995,11667.59
31,1994,10942.95
32,1993,10255.53
33,1992,9687.44
34,1991,9093.48
35,1990,8675.58
36,1989,8094.29
37,1988,7579.34
38,1987,6987.4
39,1986,6495.5
40,1985,6058.64
