,Year,Average number of children per family
0,2019,1.93
1,2018,1.9
2,2017,1.9
3,2016,1.89
4,2015,1.86
5,2014,1.9
6,2013,1.88
7,2012,1.88
8,2011,1.87
9,2010,1.88
10,2009,1.86
11,2008,1.86
12,2007,1.81
13,2006,1.82
14,2005,1.82
15,2004,1.83
16,2003,1.83
17,2002,1.83
18,2001,1.83
19,2000,1.87
20,1999,1.86
21,1998,1.85
22,1997,1.84
23,1996,1.86
24,1995,1.84
25,1994,1.84
26,1993,1.84
27,1992,1.85
28,1991,1.84
29,1990,1.83
30,1989,1.82
31,1988,1.81
32,1987,1.81
33,1986,1.83
34,1985,1.85
35,1984,1.85
36,1983,1.87
37,1982,1.87
38,1981,1.88
39,1980,1.91
40,1979,1.93
41,1978,1.96
42,1977,2.01
43,1976,2.04
44,1975,2.09
45,1974,2.14
46,1973,2.17
47,1972,2.22
48,1971,2.31
49,1970,2.28
50,1965,2.44
51,1960,2.33
