,State,Number of cases
0,New York City total,443647
1,Queens,128939
2,Kings (Brooklyn),126683
3,Suffolk,102465
4,Nassau,93106
5,Bronx,86277
6,Westchester,72762
7,New York (Manhattan),64899
8,Erie,43442
9,Richmond (Staten Island),36849
10,Monroe,36258
11,Rockland,28335
12,Orange,24370
13,Onondaga,22010
14,Oneida,13269
15,Dutchess,13020
16,Albany,12593
17,Niagara,9259
18,Broome,8672
19,Ulster,6509
20,Schenectady,6501
21,Saratoga,6360
22,Putnam,5162
23,Rensselaer,4958
24,Chemung,4753
25,Chautauqua,4097
26,Oswego,4011
27,Cayuga,3681
28,Steuben,3665
29,Ontario,3652
30,Sullivan,3249
31,Genesee,2906
32,Wayne,2827
33,Cattaraugus,2699
34,Herkimer,2671
35,Cortland,2575
36,Madison,2458
37,Jefferson,2382
38,St. Lawrence,2375
39,Tompkins,2152
40,Livingston,2042
41,Otsego,1985
42,Allegany,1955
43,Tioga,1792
44,Columbia,1768
45,Wyoming,1533
46,Montgomery,1516
47,Greene,1491
48,Orleans,1464
49,Fulton,1409
50,Warren,1346
51,Chenango,1326
52,Clinton,1312
53,Lewis,1001
54,Seneca,990
55,Washington,940
56,Franklin,937
57,Delaware,760
58,Essex,660
59,Yates,648
60,Schoharie,628
61,Schuyler,571
62,Hamilton,120
