,Area,"Incidents per 100,000 population"
0,Merseyside,27.0
1,"Durham, Darlington and Tees",24.9
2,Thames Valley,23.9
3,West Yorkshire,22.9
4,"Cumbria, Northumberland, Tyne and Wear",21.7
5,South Yorkshire and Bassetlaw,17.1
6,Greater Manchester,16.0
7,Lancashire,15.7
8,North Yorkshire and Humber,15.0
9,"Cheshire, Warrington and Wirral",13.2
10,Essex,13.2
11,"Bristol, North Somerset, Somerset and South Gloucestershire",13.0
12,Birmingham and the Black Country,12.9
13,"Devon, Cornwall and Isles of Scilly",12.3
14,"Bath, Gloucestershire, Swindon and Wiltshire",11.9
15,"Arden, Herefordshire and Worcestershire",11.3
16,Derbyshire and Nottinghamshire,11.2
17,Hertfordshire and the South Midlands,10.3
18,East Anglia,10.2
19,Shropshire and Staffordshire,10.2
20,Wessex,10.1
21,Leicestershire and Lincolnshire,9.3
22,Surrey and Sussex,8.3
23,London,8.2
24,Kent and Medway,7.3
