,industry classification,Import value in billion U.S. dollars
0,Transportation equipment,195.6
1,Oil & gas,82.43
2,Computer and electronic products,72.92
3,Machinery; except electrical,38.01
4,Electrical equipment; appliances & components,35.45
5,Primary metal mfg,30.18
6,Chemicals,30.02
7,Food manufactures,25.85
8,Goods ret to ca (exp); us goods ret & reimps (imp),24.04
9,Agricultural products,18.84
10,Fabricated metal products; nesoi,16.04
11,Plastics & rubber products,14.27
12,Petroleum & coal products,13.84
13,Miscellaneous manufactured commodities,12.45
14,Paper,9.69
