,Year,Gross domestic product in billion U.S. dollars
0,2024*,35.48
1,2023*,34.89
2,2022*,34.34
3,2021*,33.93
4,2020*,33.69
5,2019*,30.87
6,2018*,34.28
7,2017*,45.94
8,2016,55.56
9,2015,65.27
10,2014,60.73
11,2013,52.89
12,2012,48.95
13,2011,66.45
14,2010,65.72
15,2009,54.81
16,2008,64.83
17,2007,59.44
18,2006,45.26
19,2005,35.18
20,2004,26.65
21,2003,21.36
22,2002,18.14
23,2001,15.72
24,2000,13.13
25,1999,10.71
26,1998,10.92
27,1997,10.24
28,1996,8.38
29,1995,6.69
30,1994,5.96
31,1993,5.25
32,1992,3.1
33,1991,2.53
34,1990,2.25
35,1989,16.85
36,1988,9.55
37,1987,11.96
38,1986,7.4
39,1985,5.55
40,1984,7.99
