,Month,Retail sales value in billion GBP
0,Sep 19,41.02
1,Aug 19,39.94
2,Jul 19,34.02
3,Jun 19,41.56
4,May 19,33.05
5,Apr 19,32.87
6,Mar 19,39.84
7,Feb 19,30.52
8,Jan 19,29.47
9,Dec 18,51.03
10,Nov 18,37.31
11,Oct 18,32.96
12,Sep 18,39.64
13,Aug 18,31.89
14,Jul 18,32.64
15,Jun 18,39.91
16,May 18,32.26
17,Apr 18,30.64
18,Mar 18,37.75
19,Feb 18,29.25
20,Jan 18,28.42
21,Dec 17,49.72
22,Nov 17,35.63
23,Oct 17,31.76
24,Sep 17,37.81
25,Aug 17,30.19
26,Jul 17,30.73
27,Jun 17,37.87
28,May 17,30.3
29,Apr 17,30.44
30,Mar 17,35.99
31,Feb 17,28.07
32,Jan 17,27.25
33,Dec 16,47.54
34,Nov 16,34.09
35,Oct 16,30.8
36,Sep 16,36.12
37,Aug 16,28.66
38,Jul 16,29.64
39,Jun 16,35.95
40,May 16,29.09
41,Apr 16,28.14
42,Mar 16,34.46
43,Feb 16,26.62
44,Jan 16,26.59
45,Dec 15,44.38
46,Nov 15,32.14
47,Oct 15,28.9
48,Sep 15,35.05
49,Aug 15,27.46
50,Jul 15,28.59
51,Jun 15,35.7
52,May 15,28.27
53,Apr 15,27.64
54,Mar 15,34.44
55,Feb 15,26.23
56,Jan 15,26.02
