,Year,Inflation rate compared to previous year
0,2025*,1.97%
1,2024*,1.72%
2,2023*,1.53%
3,2022*,1.32%
4,2021*,1.08%
5,2020*,0.5%
6,2019,1.35%
7,2018,1.95%
8,2017,1.71%
9,2016,0.38%
10,2015,0.67%
11,2014,0.76%
12,2013,1.61%
13,2012,2.14%
14,2011,2.5%
15,2010,1.12%
16,2009,0.25%
17,2008,2.73%
18,2007,2.29%
19,2006,1.8%
20,2005,1.94%
21,2004,1.75%
22,2003,1.08%
23,2002,1.3%
24,2001,1.91%
25,2000,1.41%
26,1999,0.66%
27,1998,0.61%
28,1997,1.5%
29,1996,1.27%
30,1995,1.73%
31,1994,2.72%
32,1993,4.48%
33,1992,5.05%
34,1991,3.47%
35,1990,2.69%
36,1989,2.78%
37,1988,1.27%
38,1987,0.24%
39,1986,-0.13%
40,1985,2.08%
