,Week ending,Number of streams in millions
0,09-Oct,132.7
1,02-Oct,132.74
2,25-Sep,132.93
3,18-Sep,133.21
4,11-Sep,130.23
5,04-Sep,134.15
6,28-Aug,132.77
7,21-Aug,132.87
8,14-Aug,137.56
9,07-Aug,137.77
10,31-Jul,149.82
11,24-Jul,137.32
12,17-Jul,142.05
13,10-Jul,132.26
14,03-Jul,121.87
15,26-Jun,129.12
16,19-Jun,124.89
17,12-Jun,119.4
18,05-Jun,141.5
19,29-May,141.58
20,22-May,127.01
21,15-May,129.49
22,08-May,136.09
23,01-May,131.72
24,24-Apr,132.27
25,17-Apr,135.84
26,10-Apr,138.98
27,3-Apr,134.59
28,27-Mar,140.18
29,20-Mar,133.61
30,13-Mar,143.91
31,6-Mar,142.77
32,28-Feb,145.15
33,21-Feb,151.63
34,14-Feb,145.19
35,7-Feb,147.08
36,31-Jan,158.95
37,24-Jan,161.91
38,17-Jan,147.47
39,10-Jan,138.2
40,3-Jan,134.25
