,Month,Payroll in thousand U.S. dollars
0,Bastian Schweinsteiger,5600.0
1,Nicolas Gaitan,2197.5
2,Nemanja Nikolic,1913.33
3,Aleksandar Katai,1380.33
4,Marcelo Ferreira,797.5
5,Dax McCarty,700.0
6,Francisco Calvo,672.6
7,Przemyslaw Frankoswki,661.69
8,Johan Kappelhof,577.83
9,CJ Sapong,475.0
10,David Ousted,361.14
11,Richard Sanchez,152.5
12,Kenneth Kronholm,151.0
13,Mohammed Adams,135.0
14,Fabian Herbers,135.0
15,Djordje Mihailovic,111.0
16,Grant Lillard,97.5
17,Brandt Bronico,90.63
18,Cristian Martinez,88.41
19,Gabriel Slonina,74.8
20,Diego Campos,72.83
21,Amando Moreno,72.75
22,Jorge Corrales,70.88
23,Raheem Edwards,70.25
24,Stefan Cleveland,70.25
25,Andre Reynolds,64.25
26,Elliot Collier,57.23
27,Jeremiah Gutjahr,56.25
