,Year,Inflation rate compared to previous year
0,2025*,3.17%
1,2024*,3.17%
2,2023*,3.2%
3,2022*,3.13%
4,2021*,5.2%
5,2020*,7.56%
6,2019*,-0.71%
7,2018,-2.77%
8,2017,16.6%
9,2016,5.53%
10,2015,5.55%
11,2014,4.42%
12,2013,7.94%
13,2012,18.18%
14,2011,9.58%
15,2010,6.5%
16,2009,10.56%
17,2008,24.41%
18,2007,8.41%
19,2006,2.74%
20,2005,13.25%
21,2004,8.18%
22,2003,10.57%
23,2002,-1.26%
24,2001,7.87%
25,2000,25.52%
26,1999,3.52%
27,1998,12.47%
28,1997,31.06%
29,1996,26.42%
30,1995,19.36%
31,1994,14.71%
32,1993,9.71%
33,1992,5.33%
34,1991,9.01%
35,1990,6.99%
36,1989,11.67%
37,1988,4.49%
38,1987,7.11%
39,1986,1.67%
40,1985,3.82%
