,Year,Inflation rate compared to previous year
0,2025*,1.7%
1,2024*,1.6%
2,2023*,1.6%
3,2022*,1.49%
4,2021*,1.49%
5,2020*,1.18%
6,2019,2.67%
7,2018,1.6%
8,2017,1.3%
9,2016,0.11%
10,2015,0.22%
11,2014,0.32%
12,2013,2.56%
13,2012,2.82%
14,2011,2.47%
15,2010,0.93%
16,2009,0.97%
17,2008,2.21%
18,2007,1.59%
19,2006,1.65%
20,2005,1.49%
21,2004,1.38%
22,2003,2.23%
23,2002,3.85%
24,2001,5.11%
25,2000,2.35%
26,1999,2.04%
27,1998,1.78%
28,1997,1.86%
29,1996,1.45%
30,1995,1.35%
31,1994,2.12%
32,1993,1.64%
33,1992,2.84%
34,1991,3.18%
35,1990,2.5%
36,1989,1.1%
37,1988,0.5%
38,1987,-1%
39,1986,-
40,1985,2.3%
