,State,Number of forcible rapes
0,Texas,14824
1,California,14799
2,Florida,8456
3,Michigan,7235
4,New York,6583
5,Illinois,6078
6,Ohio,5731
7,Pennsylvania,4351
8,Colorado,3872
9,Arizona,3662
10,Washington,3332
11,North Carolina,3247
12,Georgia,2922
13,Missouri,2917
14,Virginia,2816
15,Tennessee,2813
16,Indiana,2475
17,South Carolina,2460
18,Minnesota,2448
19,Arkansas,2331
20,Louisiana,2273
21,Oklahoma,2268
22,Wisconsin,2261
23,Massachusetts,2204
24,Nevada,2161
25,Alabama,2068
26,Maryland,1913
27,Utah,1822
28,Oregon,1778
29,Kentucky,1572
30,New Jersey,1531
31,Kansas,1416
32,New Mexico,1288
33,Nebraska,1253
34,Iowa,1164
35,Alaska,1088
36,Idaho,809
37,Connecticut,771
38,Hawaii,765
39,West Virginia,754
40,Mississippi,747
41,South Dakota,642
42,Montana,624
43,New Hampshire,590
44,Maine,516
45,Rhode Island,491
46,North Dakota,437
47,District of Columbia,345
48,Wyoming,324
49,Delaware,310
50,Vermont,278
