,State,Percentage change from 2000 to 2018
0,North Dakota,310.4%
1,Tennessee,233.5%
2,South Dakota,226.9%
3,South Carolina,215.3%
4,Alabama,203.9%
5,Kentucky,195.2%
6,Maryland,178.4%
7,Arkansas,171.9%
8,North Carolina,171.3%
9,Oklahoma,152.2%
10,New Hampshire,151.6%
11,Pennsylvania,149.6%
12,Virginia,148.3%
13,Delaware,147%
14,Iowa,146.2%
15,Mississippi,141.7%
16,Georgia,140%
17,Nebraska,136.4%
18,Vermont,135.9%
19,Utah,129.6%
20,Idaho,128.9%
21,Nevada,128.9%
22,Indiana,126.1%
23,Louisiana,124.1%
24,Missouri,123.6%
25,Washington,123%
26,Minnesota,120.1%
27,Montana,117.2%
28,Wisconsin,116%
29,Maine,115.2%
30,Ohio,114.1%
31,Florida,111.8%
32,West Virginia,107.5%
33,Oregon,107.5%
34,Alaska,104.1%
35,Massachusetts,99.2%
36,Wyoming,97%
37,Rhode Island,92.1%
38,Kansas,90.4%
39,Connecticut,88.1%
40,District of Columbia,80.3%
41,Arizona,78.8%
42,Texas,73.2%
43,Hawaii,71.7%
44,Colorado,70.8%
45,New Jersey,66.1%
46,Michigan,58.9%
47,Illinois,45.1%
48,California,42.5%
49,New Mexico,36%
50,New York,31.3%
