,Month,Number of new cases
0,Jan 3,4962
1,Jan 2,3394
2,Jan 1,1754
3,Dec 31,1620
4,Dec 30,1718
5,Dec 29,1546
6,Dec 28,765
7,Dec 27,744
8,Dec 26,1296
9,Dec 25,1025
10,Dec 24,922
11,Dec 23,938
12,Dec 22,970
13,Dec 21,727
14,Dec 20,764
15,Dec 19,527
16,Dec 18,582
17,Dec 17,484
18,Dec 16,431
19,Dec 15,329
20,Dec 14,264
21,Dec 13,429
22,Dec 12,248
23,Dec 11,313
24,Dec 10,310
25,Dec 9,227
26,Dec 8,215
27,Dec 7,242
28,Dec 6,301
29,Dec 5,456
30,Dec 4,265
31,Dec 3,183
32,Dec 2,270
33,Dec 1,269
34,Nov 30,306
35,Nov 29,299
36,Nov 28,243
37,Nov 27,206
38,Nov 26,335
39,Nov 25,269
40,Nov 24,226
41,Nov 23,252
42,Nov 22,318
43,Nov 21,344
44,Nov 20,330
45,Nov 19,429
46,Nov 18,379
47,Nov 17,366
48,Nov 16,456
49,Nov 15,378
50,Nov 14,456
51,Nov 13,482
52,Nov 12,395
53,Nov 11,362
54,Nov 10,270
55,Nov 9,270
56,Nov 8,542
57,Nov 7,335
58,Nov 6,499
59,Nov 5,591
60,Nov 4,444
61,Nov 3,322
62,Nov 2,767
63,Nov 1,552
64,Oct 31,416
65,Oct 30,772
66,Oct 29,866
67,Oct 28,675
68,Oct 27,720
69,Oct 26,939
70,Oct 25,1025
71,Oct 24,859
72,Oct 23,777
73,Oct 22,1066
74,Oct 21,1167
75,Oct 20,1269
76,Oct 19,1031
77,Oct 18,1283
78,Oct 17,1276
79,Oct 16,1000
80,Oct 15,1205
81,Oct 14,1095
82,Oct 13,811
83,Oct 12,825
84,Oct 11,814
85,Oct 10,1012
86,Oct 9,617
87,Oct 8,506
88,Oct 7,611
89,Oct 6,432
90,Oct 5,518
91,Oct 4,364
92,Oct 3,613
93,Oct 2,470
94,Oct 1,442
95,Sep 30,429
96,Sep 29,363
97,Sep 28,390
98,Sep 27,430
99,Sep 26,248
100,Sep 25,326
101,Sep 24,324
102,Sep 23,234
103,Sep 22,334
104,Sep 21,188
105,Sep 20,396
106,Sep 19,274
107,Sep 18,253
108,Sep 17,240
109,Sep 16,254
110,Sep 15,357
111,Sep 14,208
112,Sep 13,255
113,Sep 12,159
114,Sep 11,211
115,Sep 10,196
116,Sep 9,84
117,Sep 8,307
118,Sep 7,102
119,Sep 6,138
120,Sep 5,231
121,Sep 4,98
122,Sep 3,95
123,Sep 2,89
124,Sep 1,217
125,Aug 31,53
126,Aug 30,42
127,Aug 29,142
128,Aug 28,127
129,Aug 27,93
130,Aug 26,164
131,Aug 25,92
132,Aug 24,147
133,Aug 23,61
134,Aug 22,156
135,Aug 21,79
136,Aug 20,136
137,Aug 19,54
138,Aug 18,190
139,Aug 17,56
140,Aug 16,66
141,Aug 15,200
142,Aug 14,67
143,Aug 13,92
144,Aug 12,40
145,Aug 11,35
146,Aug 10,57
147,Aug 9,68
148,Aug 8,174
149,Aug 7,98
150,Aug 6,69
151,Aug 5,50
152,Aug 4,45
153,Aug 3,46
154,Aug 2,53
155,Aug 1,45
156,Jul 31,38
157,Jul 30,85
158,Jul 29,14
159,Jul 28,40
160,Jul 27,11
161,Jul 26,12
162,Jul 25,24
163,Jul 24,20
164,Jul 23,7
165,Jul 22,17
166,Jul 21,36
167,Jul 20,6
168,Jul 19,10
169,Jul 18,21
170,Jul 17,34
171,Jul 16,21
172,Jul 15,14
173,Jul 14,32
174,Jul 13,11
175,Jul 12,17
176,Jul 11,23
177,Jul 10,25
178,Jul 9,23
179,Jul 8,11
180,Jul 7,24
181,Jul 6,4
182,Jul 5,18
183,Jul 4,11
184,Jul 3,9
185,Jul 2,15
186,Jul 1,6
187,Jun 30,11
188,Jun 29,24
189,Jun 28,1
190,Jun 27,23
191,Jun 26,11
192,Jun 25,11
193,Jun 24,5
194,Jun 23,10
195,Jun 22,4
196,Jun 21,6
197,Jun 20,22
198,Jun 19,13
199,Jun 18,16
200,Jun 17,8
201,Jun 16,14
202,Jun 15,18
203,Jun 14,8
204,Jun 13,46
205,Jun 12,13
206,Jun 11,8
207,Jun 10,19
208,Jun 9,9
209,Jun 8,9
210,Jun 7,25
211,Jun 6,24
212,Jun 5,28
213,Jun 4,38
214,Jun 3,47
215,Jun 2,10
216,Jun 1,77
217,May 31,66
218,May 30,59
219,May 29,39
220,May 28,46
221,May 27,73
222,May 26,37
223,May 25,59
224,May 24,57
225,May 23,76
226,May 22,115
227,May 21,76
228,May 20,64
229,May 19,51
230,May 18,88
231,May 17,64
232,May 16,92
233,May 15,129
