,Year,GDP per capita in U.S. dollars
0,2025*,7054.6
1,2024*,6623.23
2,2023*,6217.29
3,2022*,5647.78
4,2021*,5160.77
5,2020*,4898.28
6,2019*,5323.19
7,2018,5284.44
8,2017,4542.76
9,2016,4124.41
10,2015,3953.61
11,2014,4584.92
12,2013,4422.67
13,2012,4248.81
14,2011,4438.93
15,2010,4098.13
16,2009,4130.93
17,2008,4377.04
18,2007,3594.1
19,2006,2975.62
20,2005,2673.73
21,2004,2373.58
22,2003,1846.12
23,2002,1425.13
24,2001,1283.57
25,2000,1127.64
26,1999,1032.26
27,1998,818.32
28,1997,717.38
29,1996,1009.97
30,1995,903.99
31,1994,736.03
32,1993,452.62
33,1992,259.75
34,1991,408.02
35,1990,675.74
36,1989,860.78
37,1988,805.05
38,1987,832.25
39,1986,855.72
40,1985,788.8
