,Country,Production value in million euros
0,United Kingdom*,288859.6
1,France,281543.6
2,Germany,255587.9
3,Italy,162869.6
4,Spain,115838.9
5,Netherlands,86481.8
6,Sweden,72326.0
7,Belgium,69258.9
8,Switzerland,66213.7
9,Poland,57494.4
10,Norway,55968.6
11,Austria,46387.9
12,Finland,33586.8
13,Denmark,32357.1
14,Czechia,25788.4
15,Ireland,19964.7
16,Romania,17190.2
17,Portugal,16440.4
18,Slovakia,8877.4
19,Greece,8793.2
20,Hungary,7931.8
21,Bulgaria,5916.2
22,Croatia,5640.7
23,Luxembourg,5546.7
24,Lithuania,4563.4
25,Slovenia,4062.9
26,Latvia,3046.5
27,Estonia,2922.7
28,Cprus,2146.9
29,Iceland**,1634.4
30,Bosnia and Herzegovina***,1591.6
31,Macedonia,1398.3
