,Year,Inflation rate compared to previous year
0,2025*,4%
1,2024*,4%
2,2023*,4%
3,2022*,4%
4,2021*,4%
5,2020*,3.32%
6,2019,1.81%
7,2018,3.56%
8,2017,3.28%
9,2016,1.61%
10,2015,0.84%
11,2014,3%
12,2013,4.83%
13,2012,3.7%
14,2011,8.46%
15,2010,6.33%
16,2009,1.44%
17,2008,10.64%
18,2007,6.14%
19,2006,7.57%
20,2005,4.19%
21,2004,51.46%
22,2003,27.45%
23,2002,5.22%
24,2001,8.88%
25,2000,7.22%
26,1999,6.97%
27,1998,4.83%
28,1997,8.3%
29,1996,5.4%
30,1995,12.54%
31,1994,8.26%
32,1993,5.25%
33,1992,4.26%
34,1991,47.08%
35,1990,50.46%
36,1989,40.66%
37,1988,43.86%
38,1987,13.55%
39,1986,7.64%
40,1985,45.34%
