,Top 20 metropolitan areas,Percent employed in manufacturing sector
0,"Grand Rapids-Wyoming, MI",22%
1,"Wichita, KS",18.4%
2,"Greensboro-High Point, NC",16.9%
3,"Toledo, OH",16.4%
4,"Greenville-Anderson-Mauldin, SC",15.8%
5,"Milwaukee-Waukesha-West Allis, WI",14.2%
6,"Dayton, OH",13.6%
7,"Akron, OH",13.3%
8,"Detroit-Warren-Dearborn, MI",13.3%
9,"Louisville/Jefferson County, KY-IN",13%
10,"Cleveland-Elyria, OH",12.8%
11,"Tulsa, OK",12.1%
12,"Worcester, MA-CT",11.9%
13,"Rochester, NY",11.9%
14,"Hartford-West Hartford-East Hartford, CT",11.8%
15,"Cincinnati, OH-KY-IN",11.1%
16,"Madison, WI",11%
17,"Portland-Vancouver-Hillsboro, OR-WA",10.8%
18,"Allentown-Bethlehem-Easton, PA-NJ",10.8%
19,"Buffalo-Cheektowaga-Niagara Falls, NY",10.6%
20,"Minneapolis-St. Paul-Bloomington, MN-WI",10.6%
