,Country,Rating points average
0,Paris,2.16
1,Berlin,2.13
2,Frankfurt,2.07
3,London,2.03
4,Madrid,1.89
5,Amsterdam,1.85
6,Munich,1.82
7,Hamburg,1.68
8,Barcelona,1.54
9,Lisbon,1.52
10,Milan,1.36
11,Dublin,1.35
12,Brussels,1.32
13,Warsaw,1.14
14,Vienna,1.09
15,Luxembourg,1.06
16,Zurich,0.95
17,Stockholm,0.92
18,Copenhagen,0.87
19,Prague,0.85
20,Helsinki,0.79
21,Rome,0.78
22,Manchester,0.72
23,Birmingham,0.64
24,Edinburgh,0.6
25,Lyon,0.59
26,Budapest,0.56
27,Athens,0.55
28,Oslo,0.37
29,Istanbul,0.35
30,Moscow,0.17
