,Month,Personal saving rate
0,OCt 20,13.6%
1,Sep 20,14.6%
2,Aug 20,15.1%
3,Jul 20,18.6%
4,Jun 20,19%
5,May 20,24.7%
6,Apr 20,33.7%
7,Mar 20,12.9%
8,Feb 20,8.3%
9,Jan 20,7.6%
10,Dec 19,7.2%
11,Nov 19,7.5%
12,Oct 19,7.2%
13,Sep 19,7.3%
14,Aug 19,7.3%
15,Jul 19,7%
16,Jun 19,7.1%
17,May 19,7.3%
18,Apr 19,7.5%
19,Mar 19,8%
20,Feb 19,8.6%
21,Jan 19,8.5%
22,Dec 18,9.1%
23,Nov 18,7.4%
24,Oct 18,7.6%
25,Sep 18,7.9%
26,Aug 18,7.8%
27,Jul 18,7.9%
28,Jun 18,7.9%
29,May 18,7.7%
30,Apr 18,7.7%
31,Mar 18,7.8%
32,Feb 18,7.8%
33,Jan 18,7.5%
34,Dec 17,6.6%
35,Nov 17,7%
36,Oct 17,7.4%
37,Sep 17,7.3%
38,Aug 17,7.6%
39,Jul 17,7.5%
40,Jun 17,7.4%
41,May 17,7.6%
42,Apr 17,7.1%
43,Mar 17,7%
44,Feb 17,7%
45,Jan 17,6.7%
46,Dec 16,6.4%
47,Nov 16,6.7%
48,Oct 16,6.8%
49,Sep 16,6.6%
50,Aug 16,6.6%
51,Jul 16,6.7%
52,Jun 16,6.5%
53,May 16,6.9%
54,Apr 16,7.1%
55,Mar 16,7.5%
56,Feb 16,7.2%
57,Jan 16,7.6%
58,Dec 15,7.3%
59,Nov 15,7.2%
60,Oct 15,7.5%
61,Sep 15,7.4%
62,Aug 15,7.3%
63,Jul 15,7.3%
64,Jun 15,7.4%
