,Response,Share of GDP
0,"Mining, quarrying, and oil and gas extraction",25.57%
1,Construction,10.24%
2,Real estate and rental and leasing,9.46%
3,Health care and social assistance,8.86%
4,Public administration,7.73%
5,Educational services,5.73%
6,Retail trade,5.08%
7,Manufacturing,3.64%
8,"Professional, scientific and technical services",3.33%
9,Transportation and warehousing,3.28%
10,Finance and insurance,3.24%
11,Utilities,2.34%
12,Wholesale trade,2.14%
13,"Agriculture, forestry, fishing and hunting",1.9%
14,Accommodation and food services,1.87%
15,Information and cultural industries,1.85%
16,Other services (except public administration),1.73%
17,"Administrative and support, waste management and remediation services",1.39%
18,"Arts, entertainment and recreation",0.32%
19,Management of companies and enterprises,0.31%
