,Leading companies,Turnover in thousand SEK
0,KLS Ugglarps AB,5358201
1,Kährs Holding AB (publ),3191271
2,OKG AB,3045855
3,Bergs Timber AB (publ),3031000
4,Mekka Traffic AB,2836723
5,Jacobi Carbons AB,2345849
6,Electragruppen AB,1869482
7,Liljas Bil AB,1556339
8,Liljas Personbilar AB,1556339
9,Saft AB,1409355
10,Swedish DLA Agro AB,1365812
11,"Engström Bil AB, Josef",1332642
12,"Ljunghäll AB, Metallfabriken",1258820
13,Norden Machinery AB,1246157
14,IKEA Industry Hultsfred AB,1237418
15,"Åbro Bryggeri, AB",1165855
16,Be-Ge Företagen AB,1048095
17,Elajo Invest AB (publ),940320
18,Västerviks Kommuns Förvaltnings AB,900058
19,Ambia Trading Group AB,888805
