,Year,Gross domestic product in billion international dollars
0,2021*,0.86
1,2020*,0.81
2,2019*,0.85
3,2018,0.76
4,2017,0.74
5,2016,0.8
6,2015,0.78
7,2014,0.79
8,2013,0.74
9,2012,0.73
10,2011,0.73
11,2010,0.71
12,2009,0.7
13,2008,0.7
14,2007,0.64
15,2006,0.59
16,2005,0.55
17,2004,0.53
18,2003,0.5
19,2002,0.46
20,2001,0.47
21,2000,0.46
22,1999,0.44
23,1998,0.43
24,1997,0.41
25,1996,0.39
26,1995,0.37
27,1994,0.36
28,1993,0.35
29,1992,0.33
30,1991,0.32
31,1990,0.3
32,1989,0.28
33,1988,0.27
34,1987,0.24
35,1986,0.22
36,1985,0.2
37,1984,0.19
