,Response,Share of responding businesses
0,"Personal services (e.g. beauty and wellness, repair of household goods)",17%
1,"Professional services (e.g., financial services, consulting, travel agents, business services)",17%
2,Retail or wholesale (incl. online shops),16%
3,Other,13%
4,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",7%
5,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",7%
6,Restaurant/café or other food services,5%
7,"Education (e.g., schools, tutoring, driving school)",5%
8,Construction or home repair,3%
9,Non-profit/charity organization,3%
10,Manufacturing,3%
11,"Healthcare (e.g., dentist, senior care)",2%
12,Automotive repair or services,2%
13,"Accommodation (e.g., hotels, camping grounds)",2%
14,"Transportation or storage (e.g., taxi, warehousing)",2%
15,"Real estate (e.g., brokerage, leasing, management)",0%
