,Month,Number of unique visitors in millions
0,Aug '20,281.5
1,Jul '20,267.0
2,June '20,241.5
3,May '20,273.5
4,Apr '20,276.0
5,Mar '20,255.5
6,Feb '20,227.5
7,Jan '20,243.5
8,Dec '19,287.0
9,Nov '19,233.5
10,Oct '19,233.5
11,Sep '19,219.0
12,Aug '19,215.5
13,Jul '19,214.5
14,June '19,212.5
15,May '19,258.6
16,Apr '19,249.91
17,Feb '19,241.34
18,Jan '19,259.45
19,Nov '18,257.53
20,Oct '18,261.0
21,Sep '18,249.5
22,Aug '18,251.0
23,Jul '18,236.0
24,Jun '18,233.0
25,May '18,247.53
26,Dec '17,315.0
27,Oct '17,289.5
28,Aug '17,232.0
29,Jun '17,198.9
30,Feb '17,190.7
31,Oct '16,202.0
32,Sep '16,204.0
33,Aug '16,210.0
34,Jul '16,202.0
35,Jun '16,212.5
36,May '16,208.5
