,Type of program,Number of students
0,Undergraduate program,1057440
1,"Career, technical or professional training program",511905
2,Graduate program (second cycle),153003
3,Pre-university program,87411
4,"Non-program (credit, undergraduate)",66042
5,Non-program (non-credit),62187
6,Graduate program (third cycle),54303
7,Basic education and skills program,27717
8,Post-baccalaureate non-graduate program,22047
9,"Post career, technical or professional training program",20808
10,"Qualifying program for career, technical or pre-university",18696
11,Health-related residency program,15678
12,"Non-program (credit, other postsecondary)",9618
13,"Non-program (credit, graduate)",4329
14,Other programs,2460
15,Undergraduate qualifying program,2250
16,Graduate qualifying program (second cycle),102
17,Graduate program (above the third cycle),3
18,Graduate qualifying program (third cycle),3
