,Football player,Goals scored
0,Miroslav Klose (Germany),16
1,Ronaldo (Brazil),15
2,Gerd Müller (Germany),14
3,Just Fontaine (France),13
4,Pelé (Brazil),12
5,Jürgen Klinsmann (Germany),11
6,Sandor Kocsis (Hungary),11
7,Gabriel Batistuta (Argentina),10
8,Teofilo Cubillas (Peru),10
9,Grzegorz Lato (Poland),10
10,Gary Lineker (England),10
11,Thomas Mueller (Germany),10
12,Helmut Rahn (Germany),10
13,Ademir (Brazil),9
14,Roberto Baggio (Italy),9
15,Eusébio (Portugal),9
16,Jairzinho (Brazil),9
17,Paolo Rossi (Italy),9
18,Karl-Heinz Rummenigge (Germany),9
19,Uwe Seeler (Germany),9
20,Vavá (Brazil),9
21,Christian Vieri (Italy),9
22,David Villa (Spain),9
