,Quarter,Quarterly revenue in thousand euros
0,Q2 2020,17224793
1,Q1 2020,17975321
2,Q4 2019,22425402
3,Q3 2019,18070107
4,Q2 2019,19867971
5,Q1 2019,17293898
6,Q4 2018,21023544
7,Q3 2018,16559635
8,Q2 2018,18670561
9,Q1 2018,15514118
10,Q4 2017,19011002
11,Q3 2017,15964055
12,Q2 2017,17740506
13,Q1 2017,15132131
14,Q4 2016,18727483
15,Q3 2016,15156284
16,Q2 2016,17177333
17,Q1 2016,14125894
18,Q4 2015,17483164
19,Q3 2015,14420465
20,Q2 2015,16488096
21,Q1 2015,13488824
22,Q4 2014,17296599
23,Q3 2014,13936142
24,Q2 2014,16040768
25,Q1 2014,14430335
