,Year,Elementary,Secondary
0,2016-17,58773,58978
1,2015-16,58225,58385
2,2014-15,57092,57678
3,2013-14,56395,56886
4,2012-13,55344,57077
5,2011-12,54704,56226
6,2010-11,55217,56225
7,2009-10,54918,55595
8,2008-09,53998,54552
9,2007-08,52385,53262
10,2006-07,50740,51529
11,2005-06,48573,49496
12,2004-05,47122,47688
13,2003-04,46187,46976
14,2002-03,45408,46106
15,2001-02,44177,45310
16,2000-01,42910,44053
17,1999-00,41306,42546
18,1998-99,40165,41203
19,1997-98,39002,39944
20,1996-97,38039,39184
21,1995-96,37138,38397
22,1994-95,36088,37523
23,1993-94,35233,36566
24,1992-93,34350,35880
25,1991-92,33479,34827
26,1990-91,32490,33896
27,1989-90,30832,32049
28,1988-89,29022,30218
29,1987-88,27519,28798
30,1986-87,26057,27244
31,1985-86,24718,25846
32,1984-85,23200,24187
33,1983-84,21487,22554
34,1982-83,20227,21291
35,1981-82,18853,19805
36,1980-81,17230,18142
37,1979-80,15569,16459
