,table tennis player,Number of ranking points
0,Zhendong Fan (China),17001
1,Xin Xu (China),15385
2,Timo Boll (Germany),15205
3,Gaoyuan Lin (China),15189
4,Dimitrij Ovtcharov (Germany),14915
5,Tomokazu Harimoto (Japan),13584
6,Long Ma (China),13500
7,Sangsu Lee (Korea),13374
8,Hugo Calderano (Brazil),13355
9,Chun Ting Wong (Hong Kong),12969
10,Koki Niwa (Japan),12466
11,Jun Mizutani (Japan),11970
12,Simon Gauzy (France),11558
13,Chih-Yuan Chuang (Chinese Taipei),11520
14,Sangeun Jeong (Korea),10808
15,Marcos Freitas (Portugal),10744
16,Patrick Franziska (Germany),10722
17,Quadri Aruna (Nigeria),10684
18,Kenta Matsudaira (Japan),10620
19,Jonathan Groth (Denmark),10592
