,Month,CPM in euros
0,Oct 17,1.03
1,Oct 10,1.24
2,Oct 3,1.08
3,Sep 26,1.25
4,Sep 19,1.6
5,Sep 12,1.52
6,Sep 5,1.17
7,Aug 29,0.84
8,Aug 22,0.81
9,Aug 15,0.64
10,Aug 8,0.92
11,Aug 1,0.92
12,Jul 25,1.05
13,Jul 18,1.06
14,Jul 11,1.03
15,Jul 4,1.35
16,Jun 27,1.63
17,Jun 20,0.77
18,Jun 13,0.97
19,Jun 6,0.66
20,May 30,1.04
21,May 23,0.93
22,May 16,0.92
23,May 9,0.83
24,May 2,0.76
25,Apr 25,1.01
26,Apr 18,0.96
27,Apr 11,1.08
28,Apr 4,0.8
29,Mar 28,0.53
30,Mar 21,0.47
31,Mar 14,0.73
32,Mar 7,0.85
33,Feb 29,0.85
34,Feb 22,0.97
35,Feb 15,1.39
36,Feb 8,1.06
37,Feb 1,1.42
