,Month,Units sold
0,Dec 19,186
1,Nov 19,74
2,Oct 19,120
3,Sep 19,153
4,Aug 19,96
5,Jul 19,154
6,Jun 19,94
7,May 19,157
8,Apr 19,132
9,Mar 19,254
10,Feb 19,45
11,Jan 19,130
12,Dec 18,81
13,Nov 18,115
14,Oct 18,55
15,Sep 18,52
16,Aug 18,160
17,Jul 18,246
18,Jun 18,229
19,May 18,87
20,Apr 18,107
21,Mar 18,229
22,Feb 18,43
23,Jan 18,138
24,Dec 17,122
25,Nov 17,136
26,Oct 17,132
27,Sep 17,199
28,Aug 17,75
29,Jul 17,121
30,Jun 17,168
31,May 17,115
32,Apr 17,104
33,Mar 17,358
34,Feb 17,60
35,Jan 17,163
36,Dec 16,128
37,Nov 16,111
38,Oct 16,171
39,Sep 16,320
40,Aug 16,69
41,Jul 16,188
