,Year,Inflation rate compared to previous year
0,2024*,2.17%
1,2023*,2.17%
2,2022*,2.18%
3,2021*,2.32%
4,2020*,2.64%
5,2019*,1.85%
6,2018,2.23%
7,2017,1.55%
8,2016,-0.35%
9,2015,1.88%
10,2014,1.18%
11,2013,0.44%
12,2012,1.91%
13,2011,3.06%
14,2010,1.62%
15,2009,1.67%
16,2008,4.43%
17,2007,2.41%
18,2006,1.96%
19,2005,1.82%
20,2004,1.16%
21,2003,3.66%
22,2002,1.5%
23,2001,2.36%
24,2000,1.73%
25,1999,1.12%
26,1998,1.21%
27,1997,0.56%
28,1996,1.26%
29,1995,2.02%
30,1994,1.37%
31,1993,2.75%
32,1992,5.58%
33,1991,7.3%
34,1990,4.63%
35,1989,5.41%
36,1988,4.05%
37,1987,5.99%
38,1986,5.41%
39,1985,4.62%
40,1984,3.97%
