,basketball team,Average player salary in million U.S. dollars
0,Oklahoma City Thunder,9.43
1,Golden State Warriors,9.92
2,Washington Wizards,8.5
3,Toronto Raptors,8.15
4,Houston Rockets,9.16
5,Miami Heat,9.3
6,Charlotte Hornets,8.28
7,Minnesota Timberwolves,8.27
8,Boston Celtics,7.81
9,Portland Trail Blazers,10.04
10,Cleveland Cavaliers,9.21
11,Memphis Grizzlies,7.09
12,San Antonio Spurs,7.88
13,Detroit Pistons,8.47
14,Utah Jazz,7.74
15,Denver Nuggets,9.31
16,New Orleans Pelicans,7.73
17,Los Angeles Clippers,8.67
18,Orlando Magic,9.48
19,Milwaukee Bucks,8.17
20,Chicago Bulls,7.45
21,Dallas Mavericks,7.92
22,Philadelphia 76ers,8.62
23,Indiana Pacers,7.46
24,Phoenix Suns,7.83
25,Los Angeles Lakers,7.86
26,New York Knicks,7.08
27,Brooklyn Nets,8.04
28,Sacramento Kings,7.88
29,Atlanta Hawks,7.48
