,Year,Inflation rate compared to previous year
0,2021*,"500,000%"
1,2020*,"500,000%"
2,2019*,"200,000%"
3,2018,"65,374.08%"
4,2017,438.12%
5,2016,254.95%
6,2015,121.74%
7,2014,62.17%
8,2013,40.64%
9,2012,21.07%
10,2011,26.09%
11,2010,28.19%
12,2009,26.04%
13,2008,31.44%
14,2007,18.7%
15,2006,13.66%
16,2005,15.96%
17,2004,21.75%
18,2003,31.09%
19,2002,22.43%
20,2001,12.53%
21,2000,16.21%
22,1999,23.57%
23,1998,35.78%
24,1997,50.04%
25,1996,99.88%
26,1995,59.92%
27,1994,60.82%
28,1993,38.12%
29,1992,31.42%
30,1991,34.21%
31,1990,40.66%
32,1989,84.46%
33,1988,29.47%
34,1987,28.14%
35,1986,11.54%
36,1985,11.38%
37,1984,12.25%
