,Month,Value of wealth in billion euros
0,"Liliane Bettencourt (L’Oréal, France)",25.1
1,"Susanne Klatten (BMW, Germany)",13.1
2,"Johanna Quandt (BMW, Germany)",10.7
3,"Charlene Carvalho Heineken (Heineken, Netherlands)",8.1
4,"Margarita Louis Dreyfus (Louis Dreyfus, Switzerland)",5.6
5,"Antonia Axson Johnson (Axel Johnson Group, Sweden)",5.6
6,"Sandra Ortega Mera (Inditex, Spain)",5.2
7,"Daniela Herz (Mayfair, Germany)",4.6
8,"Kirsten Rausing (Tetra, Sweden)",4.5
9,"Elisabeth Mohn (Bertelsmann, Germany)",4.3
