,railway station,Number of passenger entries and exits
0,Waterloo,94192690
1,Victoria,74715808
2,Liverpool Street,69482532
3,London Bridge,61308364
4,Birmingham New Street,47927772
5,Euston,46146456
6,Stratford,41206226
7,Paddington,38181588
8,St.Pancras,35984204
9,King's Cross,34645924
10,Glasgow Central,32797088
11,Leeds,30838554
12,Highbury & Islington,30439574
13,Manchester Piccadilly,30251948
14,Charing Cross,30235856
15,Clapham Junction,29520132
16,East Croydon,24769874
17,Edinburgh,23872996
18,Canada Water,23725794
19,Vauxhall,21009688
20,Cannon Street,20614904
