,Year,GDP per capita in U.S. dollars
0,2025*,2756.11
1,2024*,2544.33
2,2023*,2348.82
3,2022*,2168.33
4,2021*,1989.85
5,2020*,1887.97
6,2019*,1816.04
7,2018*,1661.88
8,2017*,1530.12
9,2016*,1370.77
10,2015*,1220.76
11,2014*,1163.04
12,2013,1030.03
13,2012,916.03
14,2011,857.5
15,2010,807.53
16,2009,728.39
17,2008,655.95
18,2007,584.5
19,2006,523.03
20,2005,495.49
21,2004,485.66
22,2003,454.1
23,2002,419.69
24,2001,406.41
25,2000,412.33
26,1999,415.37
27,1998,407.35
28,1997,402.89
29,1996,393.53
30,1995,383.1
31,1994,353.91
32,1993,332.77
33,1992,324.43
34,1991,331.73
35,1990,329.49
36,1989,324.93
37,1988,302.59
38,1987,287.84
39,1986,267.98
40,1985,262.55
