,Month,Growth rate of HCIP
0,Oct '18,2.1%
1,Sep '18,2.5%
2,Aug '18,2.4%
3,Jul '18,2.1%
4,Jun '18,2%
5,May '18,1.7%
6,Apr '18,1.4%
7,Mar '18,1.3%
8,Feb '18,1.3%
9,Jan '18,1.2%
10,Dec '17,1.3%
11,Nov '17,1.5%
12,Oct '17,1.5%
13,Sep '17,1.2%
14,Aug '17,1.2%
15,Jul '17,1.2%
16,Jun '17,1%
17,May '17,1.1%
18,Apr '17,1.1%
19,Mar '17,1.2%
20,Feb '17,1.2%
21,Jan '17,1.4%
22,Dec '16,1%
23,Nov '16,0.8%
24,Oct '16,0.5%
25,Sep '16,0.9%
26,Aug '16,1%
27,Jul '16,0.9%
28,Jun '16,1%
29,May '16,1%
30,Apr '16,0.8%
