,cultural sites in the Ile-de-France region,Number of visitors in thousands
0,Palace of Versailles,6701
1,National museum of Château de Fontainebleau,1000
2,Feline Park,466
3,Arboretum de la Vallée-aux-Loup,310
4,Musée de l'Air et de l'Espace,265
5,Château de Vaux-le-Vicomte,220
6,Basilique Saint-Denis,191
7,Château de Vincennes,133
8,Château de Malmaison,132
9,Musée d’Archéologie national (St. Germain-en-Laye),124
10,Musée départemental Albert-Khan,120
11,Musée de la Grande Guerre du pays de Meaux,106
12,Stade de France,105
13,Maison de Chateaubriand,89
14,Cité de la Céramique,66
15,Château de Champs-sur-Marne,65
