,Month,Price in British pounds per kilogram
0,Nov '19,0.59
1,Oct '19,0.73
2,Sep '19,0.8
3,Aug '19,1.03
4,Jul '19,1.27
5,Jun '19,1.91
6,May '19,1.73
7,Apr '19,2.03
8,Nov '18,0.66
9,Oct '18,0.61
10,Sep '18,0.85
11,Aug '18,0.7
12,Jul '18,0.83
13,Jun '18,1.22
14,May '18,1.03
15,Apr '18,0.65
16,Dec '17,0.6
17,Nov '17,0.73
18,Oct '17,1.09
19,Sep '17,1.15
20,Aug '17,0.76
21,Jul '17,0.89
22,Jun '17,1.59
23,May '17,1.3
24,Apr '17,1.09
25,Dec '16,0.89
26,Nov '16,0.66
27,Sep '16,0.55
28,Aug '16,0.86
29,Jul '16,1.3
30,Jun '16,1.2
31,Nov '15,0.41
32,Sep '15,0.6
33,Aug '15,0.64
34,Jul '15,0.65
35,Jun '15,0.83
36,May '15,0.85
37,Apr '15,1.49
