,automobile manufacturer,Number of units sold
0,Nissan,154637
1,General Motors,118581
2,Volkswagen,78128
3,Toyota,60425
4,KIA,58160
5,Honda,38938
6,Mazda,35506
7,Chrysler,33505
8,Ford Motor,29757
9,Hyundai,25602
10,Renault,20193
11,Suzuki,19431
12,SEAT,12227
13,Mercedes Benz,11741
14,BMW,9455
15,Mitsubishi,8381
16,Audi,7497
17,Peugeot,7315
18,Fiat,3944
19,Mini,3060
20,JAC,3049
21,Volvo,1841
22,Baic,1200
23,Subaru,1093
24,Porsche,1046
25,Lincoln,787
26,Acura,776
27,Land Rover,707
28,ISUZU,696
29,Infiniti,651
30,Jaguar,84
31,Alfa Romeo,82
32,Bentley,6
