,Year,GDP per capita in U.S. dollars
0,2024*,12007.79
1,2023*,11563.56
2,2022*,11150.18
3,2021*,10767.5
4,2020*,10405.79
5,2019*,10118.17
6,2018,9796.98
7,2017,9366.66
8,2016,8815.54
9,2015,9673.64
10,2014,10980.99
11,2013,10764.33
12,2012,10261.05
13,2011,10204.51
14,2010,9258.2
15,2009,7975.42
16,2008,9973.02
17,2007,9588.51
18,2006,8997.27
19,2005,8189.16
20,2004,7383.02
21,2003,6964.63
22,2002,7465.92
23,2001,7409.68
24,2000,7016.24
25,1999,6019.94
26,1998,5346.19
27,1997,5148.07
28,1996,4286.48
29,1995,3810.93
30,1994,5672.01
31,1993,5467.16
32,1992,4479.32
33,1991,3927.96
34,1990,3335.46
35,1989,2940.09
36,1988,2459.99
37,1987,2050.33
38,1986,1906.82
39,1985,2810.06
40,1984,2703.33
