,Month,Stock market points
0,"Dec 1, '20",8140.8
1,"Nov 16, '20",7986.2
2,"Oct 30, '20",6452.2
3,"Oct 15, '20",6816.8
4,"Oct 1, '20",6730.7
5,"Sep 15, '20",7036.0
6,"Sep 1, '20",6956.9
7,"Aug 17, '20",7090.1
8,Aug 3 '20,6975.0
9,"Jul 31, '20",6877.4
10,"Jul 30, '20",6996.6
11,"Jul 29, '20",7206.2
12,"Jul 28, '20",7246.4
13,"Jul 27, '20",7170.6
14,"Jul 24, '20",7294.7
15,"Jul 23, '20",7384.9
16,"Jul 22, '20",7390.1
17,"Jul 21, '20",7494.5
18,"Jul 20, '20",7478.0
19,"Jul 17, '20",7440.4
20,"Jul 16, '20",7474.7
21,"Jul 15, '20",7487.6
22,"Jul 14, '20",7352.0
23,"Jul 13, '20",7426.9
24,"Jul 10, '20",7321.1
25,"Jul 9, '20",7236.9
26,"Jul 8, '20",7326.4
27,"Jul 7, '20",7447.4
28,"Jul 6, '20",7556.2
29,"Jul 3, '20",7403.5
30,"Jul 2, '20",7498.6
31,"Jul 1, '20",7227.4
32,"Jun 30, '20",7231.4
33,"Jun 29, '20",7278.1
34,"Jun 26, '20",7178.4
35,"Jun 25, '20",7270.3
36,"Jun 24, '20",7195.5
37,"Jun 23, '20",7438.4
38,"Jun 22, '20",7345.7
39,"Jun 19, '20",7414.2
40,"Jun 18, '20",7390.2
41,"Jun 17, '20",7478.7
42,"Jun 16, '20",7495.3
43,"Jun 15, '20",7259.3
44,"Jun 12, '20",7292.7
45,"Jun 11, '20",7278.0
46,"Jun 10, '20",7663.9
47,"Jun 9, '20",7752.3
48,"Jun 8, '20",7896.1
49,"Jun 5, '20",7872.6
50,"Jun 4, '20",7566.8
51,"Jun 3, '20",7626.4
52,"Jun 2, '20",7408.1
53,"Jun 1, '20",7221.4
54,"May 29, '20",7096.5
55,"May 28, '20",7224.1
56,"May 27, '20",7174.5
57,"May 26, '20",7003.9
58,"May 25, '20",6856.8
59,"May 22, '20",6697.5
60,"May 21, '20",6686.1
61,"May 20, '20",6683.6
62,"May 19, '20",6609.1
63,"May 18, '20",6779.3
64,"May 15, '20",6474.9
65,"May 14, '20",6545.6
66,"May 13, '20",6631.4
67,"May 12, '20",6762.7
68,"May 11, '20",6672.2
69,"May 10, '20",6762.7
70,"May 9, '20",6672.2
71,"May 8, '20",6783.1
72,"May 7, '20",6730.9
73,"May 6, '20",6671.7
74,"May 5, '20",6747.7
75,"May 4, '20",6673.3
76,Apr 30. '20,6922.3
77,Apr 29. '20,7055.7
78,Apr 28. '20,6836.4
79,Apr 27. '20,6731.8
80,Apr 24. '20,6613.9
81,Apr 23. '20,6746.5
82,Apr 22. '20,6719.8
83,"Apr 21, '20",6634.9
84,"Apr 20, '20",6831.5
85,"Apr 17, '20",6875.8
86,"Apr 16, '20",6763.4
87,"Apr 15, '20",6839.5
88,"Apr 14, '20",7108.6
89,"Apr 9, '20",7070.6
90,"Apr 8, '20",6951.8
91,"Apr 7, '20",7002.0
92,"Apr 6, '20",6844.3
93,"Apr 3, '20",6581.6
94,"Apr 2, '20",6574.1
95,"Apr 1, '20",6579.4
96,"Mar 31, '20",6785.4
97,"Mar 30, '20",6659.9
98,"Mar 27, '20",6777.9
99,"Mar 26, '20",7033.2
100,"Mar 25, '20",6942.4
101,"Mar 24, '20",6749.0
102,"Mar 23, '20",6230.2
103,"Mar 20, '20",6443.3
104,"Mar 19, '20",6395.8
105,"Mar 18, '20",6274.8
106,"Mar 17, '20",6498.5
107,"Mar 16, '20",6107.2
108,"Mar 13, '20",6629.6
109,"Mar 12, '20",6390.9
110,"Mar 11, '20",7436.4
111,"Mar 10, '20",7461.5
112,"Mar 9, '20",7708.7
113,"Mar 6, '20",8375.6
114,"Mar 5, '20",8683.0
115,"Mar 4, '20",8910.0
116,"Mar 3, '20",8811.6
117,"Mar 2, '20",8741.5
118,"Feb 28, '20",8723.2
119,"Feb 27, '20",8985.9
120,"Feb 26, '20",9316.8
121,"Feb 25, '20",9250.8
122,"Feb 24, '20",9483.5
123,"Feb 21, '20",9886.2
124,"Feb 20, '20",9931.0
125,"Feb 19, '20",10083.6
126,"Feb 18, '20",10005.8
127,"Feb 17, '20",10022.1
128,"Feb 14, '20",9956.8
129,"Feb 12, '20",9940.4
130,"Feb 11, '20",9882.6
131,"Feb 8, '20",9816.0
132,"Feb 7, '20",9811.0
133,"Feb 6, '20",9811.3
134,"Feb 4, '20",9562.9
135,"Feb 3, '20",9404.7
136,"Jan 31, '20",9367.9
137,"Jan 30, '20",9367.9
138,"Jan 29, '20",9546.7
139,"Jan 27, '20",9366.3
140,"Jan 24, '20",9562.0
141,"Jan 22, '20",9518.5
142,"Jan 21, '20",9573.7
143,"Jan 20, '20",9658.8
