,Major League Baseball Player,Average player age in years
0,Washington Nationals,30.1
1,Oakland Athletics,29.9
2,Houston Astros,29.8
3,Chicago Cubs,29.5
4,Atlanta Braves,29.5
5,New York Yankees,29.5
6,Milwaukee Brewers,29.3
7,San Francisco Giants,29.0
8,New York Mets,29.0
9,St. Louis Cardinals,28.6
10,Minnesota Twins,28.4
11,Tampa Bay Rays,28.3
12,Boston Red Sox,28.3
13,Chicago White Sox,28.3
14,Los Angeles Dodgers,28.2
15,Seattle Mariners,27.8
16,Miami Marlins,27.8
17,Cleveland Indians,27.7
18,Texas Rangers,27.7
19,Los Angeles Angels,27.7
20,Colorado Rockies,27.5
21,Pittsburgh Pirates,27.4
22,Cincinnati Reds,27.3
23,Philadelphia Phillies,27.3
24,Kansas City Royals,27.1
25,Arizona Diamondbacks,27.0
26,Toronto Blue Jays,26.8
27,Detroit Tigers,26.5
28,San Diego Padres,26.0
29,Baltimore Orioles,25.7
