,Year,Gross domestic product in billion U.S. dollars
0,2024*,345.16
1,2023*,322.86
2,2022*,301.67
3,2021*,281.06
4,2020*,261.87
5,2019*,243.7
6,2018,239.55
7,2017,211.41
8,2016,188.5
9,2015,177.9
10,2014,199.63
11,2013,190.95
12,2012,171.2
13,2011,183.44
14,2010,166.23
15,2009,174.1
16,2008,214.32
17,2007,174.59
18,2006,123.53
19,2005,99.7
20,2004,76.22
21,2003,59.87
22,2002,46.17
23,2001,40.72
24,2000,37.47
25,1999,36.18
26,1998,42.82
27,1997,35.87
28,1996,35.92
29,1995,36.07
30,1994,30.57
31,1993,26.8
32,1992,19.91
33,1991,29.26
34,1990,38.76
35,1989,54.58
36,1988,60.93
37,1987,58.85
38,1986,52.63
39,1985,48.6
40,1984,39.36
