,Month,Index level*
0,Jul '20,109.3
1,Jun '20,109.2
2,May '20,109.1
3,Apr '20,109.0
4,Mar '20,108.8
5,Feb  '20,108.7
6,Jan  '20,108.6
7,Dec  '20,108.4
8,Nov  '20,108.3
9,Oct  '20,108.1
10,Sep  '20,108.0
11,Aug  '20,107.9
12,Jul '19,107.8
13,Jun '19,107.7
14,May '19,107.6
15,Apr '19,107.4
16,Mar '19,107.3
17,Feb '19,107.2
18,Jan '19,107.1
19,Dec '18,107.0
20,Nov '18,106.8
21,Oct '18,106.7
22,Sep '18,106.6
23,Aug '18,106.5
24,Jul '18,106.4
25,Jun '18,106.3
26,May '18,106.2
27,Apr '18,106.2
28,Mar '18,106.1
29,Feb '18,106.0
30,Jan '18,106.0
31,Dec '17,105.9
32,Nov' 17,105.8
33,Oct '17,105.8
34,Sep '17,105.7
35,Aug '17,105.6
36,Jul '17,105.5
37,Jun '17,105.3
38,May '17,105.2
39,Apr '17,105.1
40,Mar '17,105.0
41,Feb '17,104.9
42,Jan '17,104.8
43,Dec '16,104.6
44,Nov '16,104.4
45,Oct '16,104.2
46,Sep '16,104.0
47,Aug '16,103.9
48,Jul '16,103.6
49,Jun '16,103.4
50,May '16,103.4
51,Apr '16,103.2
52,Mar '16,102.9
53,Feb '16,102.8
54,Jan '16,102.6
