,Response,Share of respondents
0,ebay.com,85%
1,amazon.com/Amazon-Trade-In,70%
2,craigslist.org,68%
3,bestbuy.com,54%
4,etsy.com,49%
5,gamestop.com/trade,33%
6,us.letgo.com/en,16%
7,gazelle.com,14%
8,offerup.com,13%
9,thredup.com,12%
10,poshmark.com,10%
11,sell.com,10%
12,eBid.net,9%
13,bonanza.com,8%
14,5milesapp.com,7%
15,decluttr.com,7%
16,listia.com,7%
17,tradesy.com,6%
18,close5.com,5%
19,wallapop.com,4%
20,ioffer.com,4%
21,carousell.com,4%
22,geebo.com,4%
23,swappa.com,4%
24,SocialSell,4%
25,nextworth.com,4%
26,glyde.com,3%
27,Linger,2%
28,Other,2%
29,None of these,3%
