,Twitter post,Number of retweets
0,"Carter Wilkerson - ""HELPMEPLEASE. A MAN NEEDS HIS NUGGS""",3637285
1,"Barack Obama - ""No one is born hating another person because of the color of his skin or his background or his religion...""",1711385
2,Penn State IFC - pleding support to Houston flood victims for RT,1167328
3,"Ariana Grande - ""broken. from the bottom of my heart, i am so so sorry. i don't have words.""",1122740
4,"Barack Obama - ""I'm asking you to believe—not in my ability to create change, but in yours.""",871074
5,Linking Park - photo post of Chester Bennington (died July 2017),787340
6,"LeBron James - ""Going to White House was a great honor until you showed up!""",660396
7,"Barack Obama - ""It's been the honor of my life to serve you. You made me a better leader and a better man.""",630584
8,Sam Martin - dog food donations for RT,623412
9,Seth Joseph - Suicide Hotline,604298
